fecha,Original,Tendencia_ciclo
1991-01,3.543337179624111,3.436691296099493
1991-02,3.4441599494398965,3.4382272193559245
1991-03,3.3899286897728524,3.439985782792315
1991-04,3.3918047533773286,3.4442115121756376
1991-05,3.4063798829401066,3.4485315791246896
1991-06,3.4159211943702705,3.452508581539402
1991-07,3.417820457904944,3.457723242945875
1991-08,3.4248631403892413,3.4663788685529386
1991-09,3.4583434694076196,3.478439553339118
1991-10,3.5235070042555017,3.490580831533308
1991-11,3.5780333146184944,3.501408560713322
1991-12,3.556506868099326,3.510234834393954
1992-01,3.597357846672672,3.5177186361258745
1992-02,3.5396901891711794,3.5249249464314216
1992-03,3.538331118546373,3.5311956614793765
1992-04,3.437012119008219,3.5377397668205837
1992-05,3.4814843994895357,3.5471107515292326
1992-06,3.5453036214338276,3.5589113465847078
1992-07,3.5564528875157397,3.56974174505173
1992-08,3.5705409291706927,3.5768872338994764
1992-09,3.553333572625701,3.5806764412749645
1992-10,3.62050074113589,3.5826725931847467
1992-11,3.6407784864565182,3.5833353302122593
1992-12,3.6059647826100227,3.585720730786944
1993-01,3.6371916811404645,3.594117883171247
1993-02,3.621507069642672,3.6073393830136133
1993-03,3.6574226272652512,3.6191424407327846
1993-04,3.5381471541713223,3.627038561236513
1993-05,3.590448876152159,3.633161899472931
1993-06,3.611029636132653,3.638959322296456
1993-07,3.6243326476087083,3.6446776380197883
1993-08,3.644856778029146,3.648186344516829
1993-09,3.6107362756086765,3.6497988659026968
1993-10,3.6704598100204757,3.6522280962186473
1993-11,3.723960375043552,3.655155591995358
1993-12,3.7115281520159864,3.6573027164971386
1994-01,3.710182669670062,3.659878730977275
1994-02,3.6503789833438276,3.6663527711598163
1994-03,3.691903234379043,3.6756293815788417
1994-04,3.6136368262895595,3.6831033937486013
1994-05,3.6489018558553767,3.6883959645016686
1994-06,3.679051895211484,3.692649262947115
1994-07,3.6443302309530643,3.6965875118119325
1994-08,3.6996008425762636,3.700843353900591
1994-09,3.6793045123134807,3.703996632602716
1994-10,3.723534049506013,3.705522141358103
1994-11,3.760083078085802,3.707110623787701
1994-12,3.7295315250780017,3.7129249786074685
1995-01,3.834609771772389,3.7227294469354826
1995-02,3.7506007832681476,3.7288985712944203
1995-03,3.7388696684112817,3.729903773205195
1995-04,3.620680900287453,3.730969777964387
1995-05,3.705630282100213,3.7337596787078935
1995-06,3.7251542245436076,3.735775213125717
1995-07,3.684706378935129,3.736233041901463
1995-08,3.718622265881,3.7370752171381945
1995-09,3.7081880307106947,3.7383952299635275
1995-10,3.7420733132460824,3.740184022850431
1995-11,3.8140444726544187,3.744031788357177
1995-12,3.8332522748153517,3.7465848086600997
1996-01,3.850080375407868,3.742841742852671
1996-02,3.718575141646456,3.7361345876311844
1996-03,3.7251307489629197,3.7321473545660315
1996-04,3.63667509641316,3.7314641742800805
1996-05,3.6967523278039467,3.7331739517105866
1996-06,3.693502979627947,3.736700554845411
1996-07,3.7114526034475466,3.7412054534156596
1996-08,3.7127185115541224,3.7460407424497535
1996-09,3.7153628858885375,3.751591062070788
1996-10,3.788931283825494,3.7567290261831117
1996-11,3.829204476625368,3.7601407747900675
1996-12,3.819240073959796,3.7631342695927925
1997-01,3.8490294742853153,3.7683049686706718
1997-02,3.7808575053570843,3.7755093338844214
1997-03,3.745874535699232,3.7826428284585467
1997-04,3.7486965323077137,3.7895863924574726
1997-05,3.758325582597747,3.7953509499546727
1997-06,3.7663111846898896,3.800266057031306
1997-07,3.7659000029701857,3.8057876445381327
1997-08,3.7710490994817487,3.812555316688115
1997-09,3.782475807975377,3.8208906830311284
1997-10,3.8429073133276233,3.8308780680559122
1997-11,3.897866690355177,3.8429802933420296
1997-12,3.9407211288482222,3.856102403018734
1998-01,4.008365967184089,3.863972685016814
1998-02,3.8414259050681596,3.8631295619355885
1998-03,3.8564972364274173,3.861005478486942
1998-04,3.7953098409554333,3.8610758605976088
1998-05,3.810556010615587,3.861028176600582
1998-06,3.8301737485768483,3.8619831987806927
1998-07,3.8167735065026993,3.8656432159801497
1998-08,3.8369608148297005,3.871869771820787
1998-09,3.837431186762654,3.8794265724041423
1998-10,3.901131081397225,3.8877164826405135
1998-11,3.984211402075105,3.8947983814599336
1998-12,3.9791180913921194,3.8982240411271154
1999-01,3.9559141794028982,3.9002154552643717
1999-02,3.887426949840997,3.9043844606851104
1999-03,3.9204471944973585,3.910006724298823
1999-04,3.851285488114254,3.915466723817487
1999-05,3.8847270177256306,3.920895568173111
1999-06,3.9112492895872255,3.925683282348716
1999-07,3.8877054650094127,3.929566078323508
1999-08,3.908895919587692,3.9333749677670538
1999-09,3.895139580132665,3.9375265151038095
1999-10,3.946436259901617,3.9424201121166402
1999-11,4.029562370688199,3.9471491748666434
1999-12,4.026201125042228,3.9501603344326948
2000-01,4.009964576447524,3.951846733077789
2000-02,3.9451723537431334,3.9534839479696315
2000-03,3.9857797523666556,3.9548093869083485
2000-04,3.866170009324352,3.955246212903692
2000-05,3.9313838435812443,3.9558975419578175
2000-06,3.9405684672291827,3.9572448268188705
2000-07,3.9214587649022667,3.9585563194927964
2000-08,3.9476673695236095,3.95895792168896
2000-09,3.9099094510448302,3.9586489069841995
2000-10,3.956534770668349,3.95995929867735
2000-11,4.025287516711755,3.9645403553839165
2000-12,4.03474605660166,3.9705575079014612
2001-01,4.0471334127775025,3.9746246585472838
2001-02,3.9590771294562987,3.9762717989112133
2001-03,3.9981431422145195,3.977147203398553
2001-04,3.8894927025851316,3.978786146138659
2001-05,3.962450041382177,3.982719018119718
